System;Context;Token;English;Target Language;Notes;
pap;hom;pap_hom_menuSubmitQ;Submit;;Menu Item: Answer new questionnaires;
pap;hom;pap_hom_menuHistory;History;;Menu Item: View historical personal data;
pap;hom;pap_hom_menuConnect;Connect;;Menu Item: Chat with the doctor/nurse;
pap;hom;pap_hom_menuSettings;Settings;;Menu item: go to settings screen;
;;;;;;
pap;hom;pap_hom_msgUnread;You have a new message from your doctor;;Notification on the App for new messages;
pap;hom;pap_hom_msgNoNew;You have no new messages;;Standard message if no new messages;
pap;hom;pap_hom_msgSeeAll;See All;;Go to all messages;
;;;;;;
pap;hom;pap_hom_username;Username;;Log In Screen prompt;
pap;hom;pap_hom_password;Password;;Log In Screen prompt;
pap;hom;pap_hom_login;Log In;;Log In Screen prompt;
pap;hom;pap_hom_passwordExpired;Password expired and must be changed;;Password change prompt;
pap;hom;pap_hom_passwordCurrent;Current Password;;Password change prompt;
pap;hom;pap_hom_passwordNew;New Password;;Password change prompt;
pap;hom;pap_hom_passwordRepeat;Repeat New Password;;Password change prompt;
pap;hom;pap_hom_passwordReset;Reset Password;;Password change prompt;
;;;;;;
pap;sub;pap_sub_submitData;Submit Data;;New Questionnaire Menu Title;
pap;sub;pap_sub_todayQ;Today's Questionnaires;;New Questionnaire Menu Display Text;
pap;sub;pap_sub_nextBtn;Next;;New Questionnaire Menu Navigation Button;
pap;sub;pap_sub_backBtn;Back;;New Questionnaire Menu Navigation Button;
pap;sub;pap_sub_submitBtn;Submit;;New Questionnaire Menu Navigation Button;
;;;;;;
pap;sub;pap_sub_enterValueInRangePls;Please enter a value in the range:;;Data Input Prompts;
pap;sub;pap_sub_selectOpt;Please select an option;;Data Input Prompts;
pap;sub;pap_sub_enterValueInRange???;Enter a value in the range:;;Data Input Prompts;
pap;sub;pap_sub_reviewSub;Please review your submissions;;Data Input Prompts;
pap;sub;pap_sub_submittedQ;Your Questionnaire has been submitted;;Data Input Prompts;
pap;sub;pap_sub_ok;Ok;;Data Input Navigation Button;
;;;;;;
pap;his;pap_his_seeHistoryMsg;Tap below to see a history of your submitted data;;History menu prompt;
pap;his;pap_his_weekTab;Week;;History menu Navigation Button;
pap;his;pap_his_monthTab;Month;;History menu Navigation Button;
pap;his;pap_his_noDataFromToMsg;There is no data in the period:;;History menu prompt;
;;;;;;
pap;set;pap_set_logout;Log out;;Settings Menu Navigation Button;
pap;set;pap_set_languages;Languages;;Settings Menu Navigation Button;
pap;set;pap_set_passChange;Change Password;;Settings Menu Navigation Button;
