System;Context;Token;English;Target Language;Notes;
pap;hom;pap_hom_menuSubmitQ;Submit;Send;Menu Item: Answer new questionnaires;
pap;hom;pap_hom_menuHistory;History;Historik;Menu Item: View historical personal data;
pap;hom;pap_hom_menuConnect;Connect;Chat;Menu Item: Chat with the doctor/nurse;
pap;hom;pap_hom_menuSettings;Settings;Indstillinger;Menu item: go to settings screen;
;;;;;;
pap;hom;pap_hom_msgUnread;You have a new message from your doctor;Du har en ny besked fra din læge;Notification on the App for new messages;
pap;hom;pap_hom_msgNoNew;You have no new messages;Du har ingen nye beskeder;Standard message if no new messages;
pap;hom;pap_hom_msgSeeAll;See All;Se alle;Go to all messages;
;;;;;;
pap;hom;pap_hom_username;Username;Brugernavn;Log In Screen prompt;
pap;hom;pap_hom_password;Password;Kodeord;Log In Screen prompt;
pap;hom;pap_hom_login;Log In;Log ind;Log In Screen prompt;
pap;hom;pap_hom_passwordExpired;Password expired and must be changed;Kodeordet er udløbet og skal skiftes;Password change prompt;
pap;hom;pap_hom_passwordCurrent;Current Password;Nuværende kodeord;Password change prompt;
pap;hom;pap_hom_passwordNew;New Password;Nyt kodeord;Password change prompt;
pap;hom;pap_hom_passwordRepeat;Repeat New Password;Gentag nyt kodeord;Password change prompt;
pap;hom;pap_hom_passwordReset;Reset Password;Nulstil kodeord;Password change prompt;
;;;;;;
pap;sub;pap_sub_submitData;Submit Data;Send data;New Questionnaire Menu Title;
pap;sub;pap_sub_todayQ;Today's Questionnaires;Dagens spørgeskema;New Questionnaire Menu Display Text;
pap;sub;pap_sub_nextBtn;Next;Næste;New Questionnaire Menu Navigation Button;
pap;sub;pap_sub_backBtn;Back;Tilbage;New Questionnaire Menu Navigation Button;
pap;sub;pap_sub_submitBtn;Submit;Send;New Questionnaire Menu Navigation Button;
;;;;;;
pap;sub;pap_sub_enterValueInRangePls;Please enter a value in the range:;Indstast venligst en værdi i intervallet:;Data Input Prompts;
pap;sub;pap_sub_selectOpt;Please select an option;Vælg venligst en mulighed;Data Input Prompts;
pap;sub;pap_sub_enterValueInRange???;Enter a value in the range:;Instast en værdi i intervallet:;Data Input Prompts;
pap;sub;pap_sub_reviewSub;Please review your submissions;Gennemse venligst dine svar;Data Input Prompts;
pap;sub;pap_sub_submittedQ;Your Questionnaire has been submitted;Dit spørgeskema er blevet sendt;Data Input Prompts;
pap;sub;pap_sub_ok;Ok;Ok;Data Input Navigation Button;
;;;;;;
pap;his;pap_his_seeHistoryMsg;Tap below to see a history of your submitted data;Tryk herunder for at se historik over tidligere insendt data;History menu prompt;
pap;his;pap_his_weekTab;Week;Uge;History menu Navigation Button;
pap;his;pap_his_monthTab;Month;Måned;History menu Navigation Button;
pap;his;pap_his_noDataFromToMsg;There is no data in the period:;Der er ingen data for denne periode;History menu prompt;
;;;;;;
pap;set;pap_set_logout;Log out;Log ud;Settings Menu Navigation Button;
pap;set;pap_set_languages;Languages;Sprog;Settings Menu Navigation Button;
pap;set;pap_set_passChange;Change Password;Skift kodeord;Settings Menu Navigation Button;
